time,nav
2026-09-14T19:59:00Z,1779.16
2026-09-14T20:59:00Z,1801.37
2026-09-14T21:59:00Z,1799.24
2026-09-14T22:59:00Z,1788.93
2026-09-14T23:59:00Z,1787.69
2026-09-15T00:59:00Z,1797.71
2026-09-15T01:59:00Z,1791.53
2026-09-15T02:59:00Z,1788.93
2026-09-15T03:59:00Z,1772.32
2026-09-15T04:59:00Z,1758.64
2026-09-15T05:59:00Z,1755.36
2026-09-15T06:59:00Z,1754.51
2026-09-15T07:59:00Z,1744.49
2026-09-15T08:59:00Z,1737.86
2026-09-15T09:59:00Z,1750.52
2026-09-15T10:59:00Z,1748.71
2026-09-15T11:59:00Z,1749.66
2026-09-15T12:59:00Z,1753.36
2026-09-15T13:59:00Z,1759.38
2026-09-15T14:59:00Z,1747.50
2026-09-15T15:59:00Z,1753.58
2026-09-15T16:59:00Z,1771.38
2026-09-15T17:59:00Z,1778.87
2026-09-15T18:59:00Z,1773.43
2026-09-15T19:59:00Z,1772.81
2026-09-15T20:59:00Z,1776.04
2026-09-15T21:59:00Z,1776.09
2026-09-15T22:59:00Z,1776.73
2026-09-15T23:59:00Z,1774.86
2026-09-16T00:59:00Z,1772.70
2026-09-16T01:59:00Z,1768.54
2026-09-16T02:59:00Z,1775.84
2026-09-16T03:59:00Z,1781.76
2026-09-16T04:59:00Z,1777.14
2026-09-16T05:59:00Z,1781.12
2026-09-16T06:59:00Z,1774.93
2026-09-16T07:59:00Z,1776.32
2026-09-16T08:59:00Z,1779.94
2026-09-16T09:59:00Z,1778.71
2026-09-16T10:59:00Z,1777.28
2026-09-16T11:59:00Z,1779.48
2026-09-16T12:59:00Z,1757.76
2026-09-16T13:59:00Z,1787.09
2026-09-16T14:59:00Z,1776.63
2026-09-16T15:59:00Z,1712.39
2026-09-16T16:59:00Z,1732.96
2026-09-16T17:59:00Z,1737.28
2026-09-16T18:59:00Z,1736.54
2026-09-16T19:59:00Z,1727.51
2026-09-16T20:59:00Z,1729.60
2026-09-16T21:59:00Z,1729.26
2026-09-16T22:59:00Z,1741.18
2026-09-16T23:59:00Z,1756.71
2026-09-17T00:59:00Z,1755.47
2026-09-17T01:59:00Z,1769.71
2026-09-17T02:59:00Z,1771.14
2026-09-17T03:59:00Z,1778.78
2026-09-17T04:59:00Z,1776.75
2026-09-17T05:59:00Z,1760.35
2026-09-17T06:59:00Z,1765.66
2026-09-17T07:59:00Z,1782.58
2026-09-17T08:59:00Z,1778.71
2026-09-17T09:59:00Z,1793.55
2026-09-17T10:59:00Z,1752.40
2026-09-17T11:59:00Z,1711.79
2026-09-17T12:59:00Z,1737.24
2026-09-17T13:59:00Z,1721.08
2026-09-17T14:59:00Z,1724.28
2026-09-17T15:59:00Z,1739.63
2026-09-17T16:59:00Z,1745.80
2026-09-17T17:59:00Z,1744.85
2026-09-17T18:59:00Z,1733.67
2026-09-17T19:59:00Z,1740.89
2026-09-17T20:59:00Z,1724.18
2026-09-17T21:59:00Z,1723.77
2026-09-17T22:59:00Z,1970.19
2026-09-17T23:59:00Z,1973.11
2026-09-18T00:59:00Z,1973.90
2026-09-18T01:59:00Z,1975.05
2026-09-18T02:59:00Z,1977.36
2026-09-18T03:59:00Z,1988.16
2026-09-18T04:59:00Z,1992.74
2026-09-18T05:59:00Z,1996.23
2026-09-18T06:59:00Z,1998.48
2026-09-18T07:59:00Z,2003.38
2026-09-18T08:59:00Z,1998.96
2026-09-18T09:59:00Z,1993.02
2026-09-18T10:59:00Z,1990.82
2026-09-18T11:59:00Z,1987.37
2026-09-18T12:59:00Z,1979.37
2026-09-18T13:59:00Z,1978.71
2026-09-18T14:59:00Z,1973.23
2026-09-18T15:59:00Z,1961.16
2026-09-18T16:59:00Z,1911.16
2026-09-18T17:59:00Z,1917.71
2026-09-18T18:59:00Z,1926.42
2026-09-18T19:59:00Z,1930.75
2026-09-18T20:59:00Z,1933.59
2026-09-18T21:59:00Z,1918.54
2026-09-18T22:59:00Z,1918.54
2026-09-18T23:59:00Z,1918.54
2026-09-19T00:59:00Z,1918.54
2026-09-19T01:59:00Z,1918.54
2026-09-19T02:59:00Z,1918.54
2026-09-19T03:59:00Z,1918.54
2026-09-19T04:59:00Z,1918.54
2026-09-19T05:59:00Z,1918.54
2026-09-19T06:59:00Z,1918.54
2026-09-19T07:59:00Z,1918.54
2026-09-19T08:59:00Z,1918.54
2026-09-19T09:59:00Z,1918.54
2026-09-19T10:59:00Z,1918.54
2026-09-19T11:59:00Z,1918.54
2026-09-19T12:59:00Z,1918.54
2026-09-19T13:59:00Z,1918.54
2026-09-19T14:59:00Z,1918.54
2026-09-19T15:59:00Z,1918.54
2026-09-19T16:59:00Z,1918.54
2026-09-19T17:59:00Z,1918.54
2026-09-19T18:59:00Z,1918.54
2026-09-19T19:59:00Z,1918.54
2026-09-19T20:59:00Z,1918.54
2026-09-19T21:59:00Z,1919.40
2026-09-19T22:59:00Z,1919.40
2026-09-19T23:59:00Z,1919.40
2026-09-20T00:59:00Z,1919.40
2026-09-20T01:59:00Z,1919.40
2026-09-20T02:59:00Z,1919.40
2026-09-20T03:59:00Z,1919.40
2026-09-20T04:59:00Z,1919.40
2026-09-20T05:59:00Z,1919.40
2026-09-20T06:59:00Z,1919.40
2026-09-20T07:59:00Z,1919.40
2026-09-20T08:59:00Z,1919.40
2026-09-20T09:59:00Z,1919.40
2026-09-20T10:59:00Z,1919.40
2026-09-20T11:59:00Z,1919.40
2026-09-20T12:59:00Z,1919.40
2026-09-20T13:59:00Z,1919.40
2026-09-20T14:59:00Z,1919.40
2026-09-20T15:59:00Z,1919.40
2026-09-20T16:59:00Z,1919.40
2026-09-20T17:59:00Z,1919.40
2026-09-20T18:59:00Z,1919.40
2026-09-20T19:59:00Z,1919.40
2026-09-20T20:59:00Z,1919.40
2026-09-20T21:59:00Z,1920.30
2026-09-20T22:59:00Z,1909.92
2026-09-20T23:59:00Z,1906.89
2026-09-21T00:59:00Z,1909.67
2026-09-21T01:59:00Z,1904.85
2026-09-21T02:59:00Z,1904.97
2026-09-21T03:59:00Z,1905.95
2026-09-21T04:59:00Z,1906.12
2026-09-21T05:59:00Z,1907.72
2026-09-21T06:59:00Z,1917.00
2026-09-21T07:59:00Z,1926.96
2026-09-21T08:59:00Z,1942.41
2026-09-21T09:59:00Z,1939.56
2026-09-21T10:59:00Z,1939.06
2026-09-21T11:59:00Z,1946.36
2026-09-21T12:59:00Z,1944.86
2026-09-21T13:59:00Z,1972.45
2026-09-21T14:59:00Z,2005.53
2026-09-21T15:59:00Z,2034.01
2026-09-21T16:59:00Z,2060.59
2026-09-21T17:59:00Z,2070.19
2026-09-21T18:59:00Z,2084.20
2026-09-21T19:59:00Z,2084.09
2026-09-21T20:59:00Z,2082.51
2026-09-21T21:59:00Z,2081.95
2026-09-21T22:59:00Z,2088.39
2026-09-21T23:59:00Z,2091.38
2026-09-22T00:59:00Z,2095.46
2026-09-22T01:59:00Z,2091.08
2026-09-22T02:59:00Z,2100.97
2026-09-22T03:59:00Z,2117.80
2026-09-22T04:59:00Z,2110.15
2026-09-22T05:59:00Z,2156.25
2026-09-22T06:59:00Z,2152.05
2026-09-22T07:59:00Z,2144.95
2026-09-22T08:59:00Z,2147.61
2026-09-22T09:59:00Z,2151.90
2026-09-22T10:59:00Z,2150.14
2026-09-22T11:59:00Z,2146.34
2026-09-22T12:59:00Z,2149.58
2026-09-22T13:59:00Z,2154.26
2026-09-22T14:59:00Z,2146.17
2026-09-22T15:59:00Z,2134.12
2026-09-22T16:59:00Z,2164.22
2026-09-22T17:59:00Z,2186.82
2026-09-22T18:59:00Z,2187.38
2026-09-22T19:59:00Z,2234.51
2026-09-22T20:59:00Z,2219.02
2026-09-22T21:59:00Z,2215.90
2026-09-22T22:59:00Z,2244.99
2026-09-22T23:59:00Z,2258.85
2026-09-23T00:59:00Z,2223.54
2026-09-23T01:59:00Z,2215.62
2026-09-23T02:59:00Z,2207.79
2026-09-23T03:59:00Z,2213.67
2026-09-23T04:59:00Z,2228.53
2026-09-23T05:59:00Z,2223.17
2026-09-23T06:59:00Z,2237.47
2026-09-23T07:59:00Z,2223.48
2026-09-23T08:59:00Z,2209.97
2026-09-23T09:59:00Z,2204.12
2026-09-23T10:59:00Z,2218.63
2026-09-23T11:59:00Z,2159.74
2026-09-23T12:59:00Z,2167.97
2026-09-23T13:59:00Z,2092.54
2026-09-23T14:59:00Z,2096.47
2026-09-23T15:59:00Z,2099.28
2026-09-23T16:59:00Z,2102.17
2026-09-23T17:59:00Z,2095.63
2026-09-23T18:59:00Z,2095.31
2026-09-23T19:59:00Z,2094.65
2026-09-23T20:59:00Z,2095.83
2026-09-23T21:59:00Z,2095.56
2026-09-23T22:59:00Z,2094.59
2026-09-23T23:59:00Z,2095.75
2026-09-24T00:59:00Z,2097.05
2026-09-24T01:59:00Z,2092.89
2026-09-24T02:59:00Z,2093.85
2026-09-24T03:59:00Z,2094.91
2026-09-24T04:59:00Z,2096.42
2026-09-24T05:59:00Z,2098.75
2026-09-24T06:59:00Z,2103.92
2026-09-24T07:59:00Z,2103.86
2026-09-24T08:59:00Z,2108.36
2026-09-24T09:59:00Z,2107.20
2026-09-24T10:59:00Z,2104.83
2026-09-24T11:59:00Z,2107.95
2026-09-24T12:59:00Z,2107.28
2026-09-24T13:59:00Z,2101.10
2026-09-24T14:59:00Z,2102.65
2026-09-24T15:59:00Z,2103.27
2026-09-24T16:59:00Z,2092.86
2026-09-24T17:59:00Z,2097.58
2026-09-24T18:59:00Z,2094.33
2026-09-24T19:47:30Z,2095.93
2026-09-24T20:47:31Z,2097.45
2026-09-24T21:32:30Z,2096.25
2026-09-24T22:47:30Z,2096.27
2026-09-24T23:47:30Z,2097.77
2026-09-25T00:47:30Z,2095.38
2026-09-25T01:47:31Z,2091.99
2026-09-25T02:47:30Z,2091.52
2026-09-25T03:47:30Z,2089.73
2026-09-25T04:47:30Z,2089.72
2026-09-25T05:02:30Z,2088.25
